19:39:28 RUNNING: 35 games, 806 positions, 7974 ranked moves
19:39:33 RUNNING: 35 games, 810 positions, 8013 ranked moves
19:39:38 RUNNING: 36 games, 814 positions, 8053 ranked moves
19:39:43 RUNNING: 36 games, 819 positions, 8103 ranked moves
19:39:48 RUNNING: 36 games, 823 positions, 8143 ranked moves
19:39:53 RUNNING: 36 games, 828 positions, 8193 ranked moves
19:39:58 RUNNING: 36 games, 831 positions, 8223 ranked moves
19:40:03 RUNNING: 36 games, 834 positions, 8253 ranked moves
19:40:08 RUNNING: 37 games, 839 positions, 8303 ranked moves
19:40:13 RUNNING: 37 games, 843 positions, 8343 ranked moves
19:40:18 RUNNING: 37 games, 847 positions, 8383 ranked moves
19:40:23 RUNNING: 37 games, 852 positions, 8433 ranked moves
19:40:28 RUNNING: 37 games, 856 positions, 8473 ranked moves
19:40:33 RUNNING: 38 games, 860 positions, 8513 ranked moves
19:40:38 RUNNING: 38 games, 865 positions, 8563 ranked moves
19:40:43 RUNNING: 38 games, 869 positions, 8603 ranked moves
19:40:48 RUNNING: 38 games, 874 positions, 8653 ranked moves
19:40:53 RUNNING: 38 games, 878 positions, 8693 ranked moves
19:40:58 RUNNING: 38 games, 882 positions, 8733 ranked moves
19:41:03 RUNNING: 38 games, 883 positions, 8743 ranked moves
19:41:08 RUNNING: 38 games, 884 positions, 8753 ranked moves
19:41:13 RUNNING: 39 games, 888 positions, 8793 ranked moves
19:41:18 RUNNING: 39 games, 893 positions, 8843 ranked moves
19:41:23 RUNNING: 39 games, 897 positions, 8883 ranked moves
19:41:28 RUNNING: 39 games, 902 positions, 8933 ranked moves
19:41:33 RUNNING: 39 games, 906 positions, 8973 ranked moves
19:41:38 RUNNING: 40 games, 910 positions, 9012 ranked moves
19:41:43 RUNNING: 40 games, 915 positions, 9062 ranked moves
19:41:48 RUNNING: 40 games, 919 positions, 9102 ranked moves
19:41:53 RUNNING: 40 games, 924 positions, 9152 ranked moves
19:41:58 RUNNING: 40 games, 928 positions, 9192 ranked moves
19:42:03 RUNNING: 40 games, 930 positions, 9212 ranked moves
19:42:08 RUNNING: 41 games, 934 positions, 9251 ranked moves
19:42:13 RUNNING: 41 games, 939 positions, 9301 ranked moves
19:42:18 RUNNING: 41 games, 943 positions, 9341 ranked moves
19:42:23 RUNNING: 41 games, 947 positions, 9381 ranked moves
19:42:28 RUNNING: 41 games, 951 positions, 9421 ranked moves
19:42:33 RUNNING: 42 games, 956 positions, 9469 ranked moves
19:42:38 RUNNING: 42 games, 960 positions, 9509 ranked moves
19:42:43 RUNNING: 42 games, 964 positions, 9549 ranked moves
19:42:48 RUNNING: 42 games, 969 positions, 9599 ranked moves
19:42:53 RUNNING: 43 games, 973 positions, 9639 ranked moves
19:42:58 RUNNING: 43 games, 978 positions, 9689 ranked moves
19:43:03 RUNNING: 43 games, 982 positions, 9729 ranked moves
19:43:08 RUNNING: 43 games, 986 positions, 9769 ranked moves
19:43:13 RUNNING: 43 games, 991 positions, 9819 ranked moves
19:43:18 RUNNING: 43 games, 994 positions, 9849 ranked moves
19:43:23 RUNNING: 44 games, 999 positions, 9899 ranked moves
19:43:28 RUNNING: 44 games, 1003 positions, 9939 ranked moves
19:43:33 RUNNING: 44 games, 1008 positions, 9989 ranked moves
19:43:38 RUNNING: 44 games, 1012 positions, 10029 ranked moves
19:43:43 RUNNING: 45 games, 1016 positions, 10069 ranked moves
19:43:48 RUNNING: 45 games, 1020 positions, 10109 ranked moves
19:43:53 RUNNING: 45 games, 1025 positions, 10159 ranked moves
19:43:58 RUNNING: 45 games, 1029 positions, 10199 ranked moves
19:44:03 RUNNING: 45 games, 1033 positions, 10239 ranked moves
19:44:08 RUNNING: 45 games, 1036 positions, 10269 ranked moves
19:44:13 RUNNING: 46 games, 1041 positions, 10319 ranked moves
19:44:18 RUNNING: 46 games, 1045 positions, 10359 ranked moves
19:44:23 RUNNING: 46 games, 1049 positions, 10399 ranked moves
19:44:28 RUNNING: 46 games, 1054 positions, 10449 ranked moves
19:44:33 RUNNING: 46 games, 1059 positions, 10499 ranked moves
19:44:38 RUNNING: 46 games, 1063 positions, 10537 ranked moves
19:44:43 RUNNING: 47 games, 1067 positions, 10577 ranked moves
19:44:48 RUNNING: 47 games, 1071 positions, 10617 ranked moves
19:44:53 RUNNING: 47 games, 1076 positions, 10667 ranked moves
19:44:58 RUNNING: 47 games, 1080 positions, 10707 ranked moves
19:45:03 RUNNING: 47 games, 1085 positions, 10757 ranked moves
19:45:08 RUNNING: 47 games, 1088 positions, 10787 ranked moves
19:45:13 RUNNING: 48 games, 1093 positions, 10837 ranked moves
19:45:18 RUNNING: 48 games, 1097 positions, 10877 ranked moves
19:45:23 RUNNING: 48 games, 1102 positions, 10927 ranked moves
19:45:28 RUNNING: 48 games, 1106 positions, 10967 ranked moves
19:45:33 RUNNING: 49 games, 1110 positions, 10998 ranked moves
19:45:38 RUNNING: 49 games, 1115 positions, 11048 ranked moves
19:45:43 RUNNING: 49 games, 1119 positions, 11088 ranked moves
19:45:48 RUNNING: 49 games, 1124 positions, 11138 ranked moves
19:45:53 RUNNING: 49 games, 1128 positions, 11178 ranked moves
19:45:58 RUNNING: 49 games, 1132 positions, 11218 ranked moves
19:46:03 RUNNING: 50 games, 1136 positions, 11256 ranked moves
19:46:08 RUNNING: 50 games, 1141 positions, 11306 ranked moves
19:46:13 RUNNING: 50 games, 1145 positions, 11346 ranked moves
19:46:18 RUNNING: 50 games, 1150 positions, 11396 ranked moves
19:46:23 RUNNING: 50 games, 1153 positions, 11426 ranked moves
19:46:28 RUNNING: 51 games, 1158 positions, 11476 ranked moves
19:46:33 RUNNING: 51 games, 1162 positions, 11516 ranked moves
19:46:38 RUNNING: 51 games, 1167 positions, 11566 ranked moves
19:46:43 RUNNING: 51 games, 1171 positions, 11606 ranked moves
19:46:48 RUNNING: 51 games, 1175 positions, 11646 ranked moves
19:46:53 RUNNING: 52 games, 1179 positions, 11686 ranked moves
19:46:58 RUNNING: 52 games, 1183 positions, 11726 ranked moves
19:47:03 RUNNING: 52 games, 1187 positions, 11766 ranked moves
19:47:08 RUNNING: 52 games, 1192 positions, 11816 ranked moves
19:47:13 RUNNING: 52 games, 1195 positions, 11846 ranked moves
19:47:18 RUNNING: 53 games, 1199 positions, 11886 ranked moves
19:47:23 RUNNING: 53 games, 1204 positions, 11936 ranked moves
19:47:28 RUNNING: 53 games, 1208 positions, 11976 ranked moves
19:47:33 RUNNING: 53 games, 1212 positions, 12016 ranked moves
19:47:38 RUNNING: 53 games, 1217 positions, 12066 ranked moves
19:47:43 RUNNING: 54 games, 1220 positions, 12096 ranked moves
19:47:48 RUNNING: 54 games, 1224 positions, 12136 ranked moves
19:47:53 RUNNING: 54 games, 1228 positions, 12176 ranked moves
19:47:58 RUNNING: 54 games, 1232 positions, 12216 ranked moves
19:48:03 RUNNING: 54 games, 1237 positions, 12266 ranked moves
19:48:08 RUNNING: 54 games, 1240 positions, 12296 ranked moves
19:48:13 RUNNING: 55 games, 1243 positions, 12316 ranked moves
19:48:18 RUNNING: 55 games, 1248 positions, 12366 ranked moves
19:48:23 RUNNING: 55 games, 1252 positions, 12406 ranked moves
19:48:28 RUNNING: 55 games, 1256 positions, 12446 ranked moves
19:48:33 RUNNING: 55 games, 1260 positions, 12486 ranked moves
19:48:38 RUNNING: 55 games, 1265 positions, 12536 ranked moves
19:48:43 RUNNING: 55 games, 1268 positions, 12566 ranked moves
19:48:48 RUNNING: 56 games, 1271 positions, 12594 ranked moves
19:48:53 RUNNING: 56 games, 1275 positions, 12634 ranked moves
19:48:58 RUNNING: 56 games, 1279 positions, 12674 ranked moves
19:49:03 RUNNING: 56 games, 1283 positions, 12714 ranked moves
19:49:08 RUNNING: 56 games, 1287 positions, 12754 ranked moves
19:49:13 RUNNING: 56 games, 1289 positions, 12774 ranked moves
19:49:18 RUNNING: 56 games, 1292 positions, 12804 ranked moves
19:49:24 RUNNING: 57 games, 1297 positions, 12854 ranked moves
19:49:29 RUNNING: 57 games, 1301 positions, 12894 ranked moves
19:49:34 RUNNING: 57 games, 1305 positions, 12934 ranked moves
19:49:39 RUNNING: 57 games, 1309 positions, 12974 ranked moves
19:49:44 RUNNING: 57 games, 1312 positions, 13004 ranked moves
19:49:49 RUNNING: 57 games, 1315 positions, 13034 ranked moves
19:49:54 RUNNING: 58 games, 1320 positions, 13084 ranked moves
19:49:59 RUNNING: 58 games, 1324 positions, 13124 ranked moves
19:50:04 RUNNING: 58 games, 1328 positions, 13164 ranked moves
19:50:09 RUNNING: 58 games, 1332 positions, 13204 ranked moves
19:50:14 RUNNING: 58 games, 1336 positions, 13244 ranked moves
19:50:19 RUNNING: 59 games, 1340 positions, 13284 ranked moves
19:50:24 RUNNING: 59 games, 1344 positions, 13324 ranked moves
19:50:29 RUNNING: 59 games, 1349 positions, 13374 ranked moves
19:50:39 RUNNING: 59 games, 1353 positions, 13414 ranked moves
19:50:44 RUNNING: 59 games, 1357 positions, 13454 ranked moves
19:50:49 RUNNING: 59 games, 1361 positions, 13491 ranked moves
19:50:54 RUNNING: 60 games, 1365 positions, 13531 ranked moves
19:50:59 RUNNING: 60 games, 1369 positions, 13571 ranked moves
19:51:04 RUNNING: 60 games, 1374 positions, 13621 ranked moves
19:51:09 RUNNING: 60 games, 1378 positions, 13661 ranked moves
19:51:14 RUNNING: 60 games, 1382 positions, 13701 ranked moves
19:51:19 RUNNING: 61 games, 1386 positions, 13741 ranked moves
19:51:24 RUNNING: 61 games, 1391 positions, 13791 ranked moves
19:51:29 RUNNING: 61 games, 1395 positions, 13831 ranked moves
19:51:34 RUNNING: 61 games, 1400 positions, 13881 ranked moves
19:51:39 RUNNING: 61 games, 1404 positions, 13920 ranked moves
